City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census),Photo,,,,,
Pereschepyne,Перещепине,Dnipropetrovsk Oblast,R,"10,041",,,,,,
Andrushivka,Андрушівка,Zhytomyr Oblast,R,"9,89",,,,,,
Pustomyty,Пустомити,Lviv Oblast,R,"9,798",,,,,,
Horodenka,Городенка,Ivano-Frankivsk Oblast,R,"9,794",,,,,,
Tysmenytsia,Тисмениця,Ivano-Frankivsk Oblast,R,"9,79",,,,,,
Tiachiv,Тячів,Zakarpattia Oblast,R,"9,786",,,,,,
Semenivka,Семенівка,Chernihiv Oblast,R,"9,656",,,,,,
Dubrovytsia,Дубровиця,Rivne Oblast,R,"9,644",,,,,,
Kodyma,Кодима,Odessa Oblast,R,"9,634",,,,,,
Irshava,Іршава,Zakarpattia Oblast,R,"9,515",,,,,,
Berezivka,Березівка,Odessa Oblast,R,"9,481",,,,,,
Ananyiv,Ананьїв,Odessa Oblast,R,"9,476",,,,,,
Monastyrysche,Монастирище,Cherkasy Oblast,R,"9,463",,,,,,
Lypovets,Липовець,Vinnytsia Oblast,R,"9,406",,,,,,
Vylkove,Вилкове,Odessa Oblast,R,"9,26",,,,,,
Radekhiv,Радехів,Lviv Oblast,R,"9,23",,,,,,
Mostyska,Мостиська,Lviv Oblast,R,"9,15",,,,,,
Artemivsk,Артемівськ,Luhansk Oblast,R,"9,097",,,,,,
Novodruzhesk,Новодружеськ,Luhansk Oblast,R,"9,025",,,,,,
Zavodske,Заводське,Poltava Oblast,R,"9,024",,,,,,
Alupka,Алупка,Crimea,R,"9,018",,,,,,
Horokhiv,Горохів,Volyn Oblast,R,"9,015",,,,,,
Pryvillia,Привілля,Luhansk Oblast,R,"9,004",,,,,,
Chop,Чоп,Zakarpattia Oblast,O,"8,919",,,,,,
Zastavna,Заставна,Chernivtsi Oblast,R,"8,866",,,,,,
Zorynsk,Зоринськ,Luhansk Oblast,R,"8,838",,,,,,
Tlumach,Тлумач,Ivano-Frankivsk Oblast,R,"8,831",,,,,,
Teplodar,Теплодар,Odessa Oblast,O,"8,83",,,,,,
Lanivtsi,Ланівці,Ternopil Oblast,R,"8,68",,,,,,
Busk,Буськ,Lviv Oblast,R,"8,673",,,,,,
Korets,Корець,Rivne Oblast,R,"8,649",,,,,,
Rohatyn,Рогатин,Ivano-Frankivsk Oblast,R,"8,607",,,,,,
Pivdenne,Південне,Kharkiv Oblast,R,"8,516",,,,,,
Dubliany,Дубляни,Lviv Oblast,R,"8,469",,,,,,
Rzhyschiv,Ржищів,Kiev Oblast,O,"8,447",,,,,,
Novoselytsia,Новоселиця,Chernivtsi Oblast,R,"8,4",,,,,,
Vorozhba,Ворожба,Sumy Oblast,R,"8,384",,,,,,
Kosiv,Косів,Ivano-Frankivsk Oblast,R,"8,301",,,,,,
Pochaiv,Почаїв,Ternopil Oblast,R,"8,24",,,,,,
Rava-Ruska,Рава-руська,Lviv Oblast,R,"8,07",,,,,,
Molochansk,Молочанськ,Zaporizhia Oblast,R,"7,964",,,,,,
Yaremcha,Яремча,Ivano-Frankivsk Oblast,O,"7,85",,,,,,
Turka,Турка,Lviv Oblast,R,"7,681",,,,,,
Kitsman,Кіцмань,Chernivtsi Oblast,R,"7,608",,,,,,
Peremyshliany,Перемишляни,Lviv Oblast,R,"7,565",,,,,,
Blahovishchenske,Благовіщенське,Kirovohrad Oblast,R,"7,526",,,,,,
Seredyna-Buda,Середина-Буда,Sumy Oblast,R,"7,511",,,,,,
Zboriv,Зборів,Ternopil Oblast,R,"7,436",,,,,,
Khorostkiv,Хоростків,Ternopil Oblast,R,"7,306",,,,,,
Oster,Остер,Chernihiv Oblast,R,"7,194",,,,,,
Sharhorod,Шаргород,Vinnytsia Oblast,R,"7,161",,,,,,
Perechyn,Перечин,Zakarpattia Oblast,R,"7,083",,,,,,
Oleksandrivsk,Олександрівськ,Luhansk Oblast,R,"7,045",,,,,,
Kopychyntsi,Копичинці,Ternopil Oblast,R,"7,036",,,,,,
Skole,Сколе,Lviv Oblast,R,"6,742",,,,,,
Artemove,Артемове,Donetsk Oblast,R,"6,725",,,,,,
Sudova Vyshnia,Судова Вишня,Lviv Oblast,R,"6,668",,,,,,
Halych,Галич,Ivano-Frankivsk Oblast,R,"6,495",,,,,,
Morshyn,Моршин,Lviv Oblast,O,"6,482",,,,,,
Monastyryska,Монастириська,Ternopil Oblast,R,"6,344",,,,,,
Miusynsk,Міусинськ,Luhansk Oblast,R,"6,029",,,,,,
Vashkivtsi,Вашківці,Chernivtsi Oblast,R,"5,987",,,,,,
Velyki Mosty,Великі Мости,Lviv Oblast,R,"5,925",,,,,,
Druzhba,Дружба,Sumy Oblast,R,"5,726",,,,,,
Staryi Sambir,Старий Самбір,Lviv Oblast,R,"5,706",,,,,,
Broshniv-Osada,Брошнів-Осада,Ivano-Frankivsk Oblast,R,"5,618",,,,,,
Shumsk,Шумськ,Ternopil Oblast,R,"5,161",,,,,,
Sviatohirsk,Святогірськ,Donetsk Oblast,R,"5,136",,,,,,
Almazna,Алмазна,Luhansk Oblast,R,"5,061",,,,,,
Svarychiv,Сваричів,Ivano-Frankivsk Oblast,R,"5,039",,,,,,
Vyzhnytsia,Вижниця,Chernivtsi Oblast,R,"5,021",,,,,,
Maydanets,Майданец,Cherkasy Oblast,R,"5,005",,,,,,
Dobromyl,Добромиль,Lviv Oblast,R,"4,976",,,,,,
Rudky,Рудки,Lviv Oblast,R,"4,942",,,,,,
Khyriv,Хирів,Lviv Oblast,R,"4,59",,,,,,
Skalat,Скалат,Ternopil Oblast,R,"4,036",,,,,,
Komarno,Комарно,Lviv Oblast,R,"3,994",,,,,,
Bibrka,Бібрка,Lviv Oblast,R,"3,98",,,,,,
Novyi Kalyniv,Новий Калинів,Lviv Oblast,R,"3,582",,,,,,
Hlyniany,Глиняни,Lviv Oblast,R,"3,378",,,,,,
Pidhaitsi,Підгайці,Ternopil Oblast,R,"3,28",,,,,,
Baturyn,Батурин,Chernihiv Oblast,R,"3,078",,,,,,
Belz,Белз,Lviv Oblast,R,"2,478",,,,,,
Ustyluh,Устилуг,Volyn Oblast,R,"2,283",,,,,,
Hertsa,Герца,Chernivtsi Oblast,R,"2,068",,,,,,
Berestechko,Берестечко,Volyn Oblast,R,"1,904",,,,,,
Uhniv,Угнів,Lviv Oblast,R,"1,021",,,,,,
Chernobyl,Чорнобиль,Kiev Oblast,R,704,,,,,,
Prypiat,Прип'ять,Kiev Oblast,O,0,,,,,,
